customer_id,channel,cost,conversion_rate,revenue
1,referral,8.320326732170223,0.12314497871663013,4199
2,paid advertising,30.450327213520207,0.016341491568876845,3410
3,email marketing,5.2462632712450965,0.04382222859493813,3164
4,social media,9.546325667652964,0.16759224735591954,1520
5,referral,8.320326732170223,0.12314497871663013,2419
6,paid advertising,30.450327213520207,0.016341491568876845,3856
7,social media,9.546325667652964,0.16759224735591954,1172
8,email marketing,5.2462632712450965,0.04382222859493813,700
9,social media,9.546325667652964,0.16759224735591954,2137
10,social media,9.546325667652964,0.16759224735591954,982
11,email marketing,5.2462632712450965,0.04382222859493813,3003
12,referral,8.320326732170223,0.12314497871663013,1455
13,social media,9.546325667652964,0.16759224735591954,3388
14,email marketing,5.2462632712450965,0.04382222859493813,3562
15,referral,8.320326732170223,0.12314497871663013,1147
16,paid advertising,30.450327213520207,0.016341491568876845,1303
17,referral,8.320326732170223,0.12314497871663013,1456
18,paid advertising,30.450327213520207,0.016341491568876845,4549
19,social media,9.546325667652964,0.16759224735591954,2054
20,referral,8.320326732170223,0.12314497871663013,4439
21,paid advertising,30.450327213520207,0.016341491568876845,1976
22,email marketing,5.2462632712450965,0.04382222859493813,4004
23,social media,9.546325667652964,0.16759224735591954,2010
24,email marketing,5.2462632712450965,0.04382222859493813,3932
25,email marketing,5.2462632712450965,0.04382222859493813,1885
26,paid advertising,30.450327213520207,0.016341491568876845,4455
27,email marketing,5.2462632712450965,0.04382222859493813,4681
28,social media,9.546325667652964,0.16759224735591954,1867
29,email marketing,5.2462632712450965,0.04382222859493813,4342
30,paid advertising,30.450327213520207,0.016341491568876845,1385
31,referral,8.320326732170223,0.12314497871663013,3239
32,social media,9.546325667652964,0.16759224735591954,1459
33,referral,8.320326732170223,0.12314497871663013,2021
34,social media,9.546325667652964,0.16759224735591954,1947
35,paid advertising,30.450327213520207,0.016341491568876845,2026
36,referral,8.320326732170223,0.12314497871663013,4776
37,social media,9.546325667652964,0.16759224735591954,3836
38,social media,9.546325667652964,0.16759224735591954,3172
39,paid advertising,30.450327213520207,0.016341491568876845,4846
40,referral,8.320326732170223,0.12314497871663013,3868
41,social media,9.546325667652964,0.16759224735591954,3947
42,social media,9.546325667652964,0.16759224735591954,1118
43,paid advertising,30.450327213520207,0.016341491568876845,3326
44,paid advertising,30.450327213520207,0.016341491568876845,1004
45,paid advertising,30.450327213520207,0.016341491568876845,3596
46,social media,9.546325667652964,0.16759224735591954,1052
47,email marketing,5.2462632712450965,0.04382222859493813,3466
48,referral,8.320326732170223,0.12314497871663013,832
49,social media,9.546325667652964,0.16759224735591954,1575
50,referral,8.320326732170223,0.12314497871663013,571
51,email marketing,5.2462632712450965,0.04382222859493813,1962
52,paid advertising,30.450327213520207,0.016341491568876845,2573
53,referral,8.320326732170223,0.12314497871663013,3603
54,referral,8.320326732170223,0.12314497871663013,2390
55,paid advertising,30.450327213520207,0.016341491568876845,2949
56,paid advertising,30.450327213520207,0.016341491568876845,719
57,email marketing,5.2462632712450965,0.04382222859493813,2754
58,paid advertising,30.450327213520207,0.016341491568876845,674
59,referral,8.320326732170223,0.12314497871663013,868
60,paid advertising,30.450327213520207,0.016341491568876845,1806
61,email marketing,5.2462632712450965,0.04382222859493813,3472
62,social media,9.546325667652964,0.16759224735591954,792
63,email marketing,5.2462632712450965,0.04382222859493813,3890
64,social media,9.546325667652964,0.16759224735591954,4131
65,paid advertising,30.450327213520207,0.016341491568876845,4210
66,social media,9.546325667652964,0.16759224735591954,1568
67,paid advertising,30.450327213520207,0.016341491568876845,2529
68,referral,8.320326732170223,0.12314497871663013,2376
69,email marketing,5.2462632712450965,0.04382222859493813,2952
70,social media,9.546325667652964,0.16759224735591954,4833
71,paid advertising,30.450327213520207,0.016341491568876845,2237
72,referral,8.320326732170223,0.12314497871663013,1361
73,paid advertising,30.450327213520207,0.016341491568876845,2807
74,paid advertising,30.450327213520207,0.016341491568876845,2620
75,referral,8.320326732170223,0.12314497871663013,3525
76,paid advertising,30.450327213520207,0.016341491568876845,3112
77,email marketing,5.2462632712450965,0.04382222859493813,1736
78,social media,9.546325667652964,0.16759224735591954,1812
79,paid advertising,30.450327213520207,0.016341491568876845,4540
80,email marketing,5.2462632712450965,0.04382222859493813,4586
81,social media,9.546325667652964,0.16759224735591954,800
82,email marketing,5.2462632712450965,0.04382222859493813,2741
83,email marketing,5.2462632712450965,0.04382222859493813,711
84,paid advertising,30.450327213520207,0.016341491568876845,3308
85,paid advertising,30.450327213520207,0.016341491568876845,4312
86,email marketing,5.2462632712450965,0.04382222859493813,3280
87,social media,9.546325667652964,0.16759224735591954,3469
88,social media,9.546325667652964,0.16759224735591954,1487
89,paid advertising,30.450327213520207,0.016341491568876845,1771
90,paid advertising,30.450327213520207,0.016341491568876845,1364
91,email marketing,5.2462632712450965,0.04382222859493813,4302
92,email marketing,5.2462632712450965,0.04382222859493813,1874
93,referral,8.320326732170223,0.12314497871663013,3453
94,email marketing,5.2462632712450965,0.04382222859493813,2933
95,social media,9.546325667652964,0.16759224735591954,2987
96,referral,8.320326732170223,0.12314497871663013,3642
