customer_id,channel,roi,clv,clv_segment
customer_id,channel,,,Low Value
1,referral,50366.7681350148,62.0241459001184,Medium Value
2,paid advertising,11098.5660321112,1.81367123240369,Low Value
3,email marketing,60209.592493041,26.3851852583811,Low Value
4,social media,15822.3564428606,26.5170427472543,Low Value
5,referral,28973.3774990714,35.6792595547204,Low Value
6,paid advertising,12563.2465160765,2.05302187020186,Low Value
7,social media,12176.9748362057,20.4076657879619,Low Value
8,email marketing,13242.8301975754,5.80330332162101,Low Value
9,social media,22285.5761305218,37.3488978733559,Low Value
10,social media,10186.6802808481,17.0720864136357,Low Value
11,email marketing,57140.7415475987,25.0403463818315,Low Value
12,referral,17387.2940310661,21.4115795339542,Low Value
13,social media,35390.0944923762,59.3110547011568,Medium Value
14,email marketing,67795.9445196625,29.7096937855039,Low Value
15,referral,13685.5163255208,16.8530261663236,Low Value
16,paid advertising,4179.10015831113,0.682927300025332,Low Value
17,referral,17399.3127898503,21.4263800319011,Low Value
18,paid advertising,14839.084129054,2.4249276818479,Low Value
19,social media,21416.1316668656,35.8917763572028,Low Value
20,referral,53251.2702432319,65.5762654073631,Medium Value
21,paid advertising,6389.25703209731,1.04409989921405,Low Value
22,email marketing,76220.9887301315,33.4017359186403,Low Value
23,social media,20955.2213487828,35.1193263968325,Low Value
24,email marketing,74848.5833383809,32.8003172906181,Low Value
25,email marketing,35830.335603471,15.7016515744866,Low Value
26,paid advertising,14530.384654855,2.37448158329851,Low Value
27,email marketing,89125.4116497866,39.0567416293491,Low Value
28,social media,19457.2628150137,32.6088640256291,Low Value
29,email marketing,82663.6695969608,36.2250622557445,Low Value
30,paid advertising,4448.39118899533,0.726933471100332,Low Value
31,referral,38828.7597021464,47.8156678711397,Low Value
32,social media,15183.3671382458,25.4461462112864,Low Value
33,referral,24189.9115029447,29.7886613718729,Low Value
34,social media,20295.2815751642,34.0133184990296,Low Value
35,paid advertising,6553.45888007548,1.07093293035735,Low Value
36,referral,57301.59195352,70.5640332154525,Medium Value
37,social media,40082.9995492193,67.1759997521998,Medium Value
38,social media,33127.4438399697,55.5190276229753,Medium Value
39,paid advertising,15814.4431060443,2.58431588683906,Low Value
40,referral,46388.5589774321,57.1251810797101,Medium Value
41,social media,41245.7505789282,69.124680334043,Medium Value
42,social media,11611.3121731041,19.4596590184166,Low Value
43,paid advertising,10822.7069275079,1.76859174008296,Low Value
44,paid advertising,3197.17310740167,0.522465773788441,Low Value
45,paid advertising,11709.39690659,1.91349010825674,Low Value
46,social media,10919.9466959799,18.3009840778611,Low Value
47,email marketing,65966.070663995,28.9078022814743,Low Value
48,referral,9899.60730848591,12.1908693130649,Low Value
49,social media,16398.4943404641,27.4826051977171,Low Value
50,referral,6762.71126579982,8.32793934893634,Low Value
51,email marketing,37298.0469252043,16.3448353850103,Low Value
52,paid advertising,8349.82709695667,1.36448629106497,Low Value
53,referral,43203.587899609,53.2030491237941,Medium Value
54,referral,28624.8334943285,35.2500451142616,Low Value
55,paid advertising,9584.62499375251,1.56627068526253,Low Value
56,paid advertising,2261.2225739261,0.369517496271673,Low Value
57,email marketing,52394.5062344611,22.9604402932547,Low Value
58,paid advertising,2113.44091074574,0.345367768242709,Low Value
59,referral,10332.2826247185,12.7236872391516,Low Value
60,paid advertising,5830.97074897153,0.952867593326857,Low Value
61,email marketing,66080.4377799742,28.9579205004761,Low Value
62,social media,8196.38572549054,13.7365070393094,Low Value
63,email marketing,74048.0135265264,32.4494897576051,Low Value
64,social media,43173.1937272745,72.3549256228643,Medium Value
65,paid advertising,13725.795599762,2.24299973069637,Low Value
66,social media,16325.167698951,27.3597154312946,Low Value
67,paid advertising,8205.32947073587,1.34087322365887,Low Value
68,referral,28456.5708713492,35.0428381430057,Low Value
69,email marketing,56168.6210617753,24.6143415203157,Low Value
70,social media,50526.8083475957,84.679013626954,High Value
71,paid advertising,7246.39067854336,1.18416832178204,Low Value
72,referral,16257.5307053477,20.0203327269501,Low Value
73,paid advertising,9118.2917454945,1.49006487681558,Low Value
74,paid advertising,8504.17683405615,1.38970934033966,Low Value
75,referral,42266.1247144385,52.0486102839396,Medium Value
76,paid advertising,10119.9230181613,1.65374636678966,Low Value
77,email marketing,32990.2188899871,14.4570491359406,Low Value
78,social media,18881.1249174102,31.6433015751662,Low Value
79,paid advertising,14809.5277964179,2.4200977362421,Low Value
80,email marketing,87314.5989801157,38.2632031618198,Low Value
81,social media,8280.1876015056,13.8769524866494,Low Value
82,email marketing,52146.7108165061,22.8518508187506,Low Value
83,email marketing,13452.5032435373,5.8951867231244,Low Value
84,paid advertising,10763.5942622358,1.75893184887137,Low Value
85,paid advertising,14060.7673696374,2.29773911422869,Low Value
86,email marketing,62420.6900686392,27.3541374924169,Low Value
87,social media,36238.5884870286,60.7330648554748,Medium Value
88,social media,15476.6737042985,25.9377052769765,Low Value
89,paid advertising,5716.02945538681,0.934084471526552,Low Value
90,paid advertising,4379.4264128445,0.715663598020149,Low Value
91,email marketing,81901.2221570994,35.8909407957322,Low Value
92,email marketing,35620.6625575091,15.6097681729832,Low Value
93,referral,41400.7740819734,50.9829744317662,Medium Value
94,email marketing,55806.4585278411,24.4556338268099,Low Value
95,social media,31189.5254571215,52.2712266532366,Medium Value
96,referral,43672.3194921943,53.7802685437214,Medium Value
97,social media,8751.57315409029,14.6669581279372,Low Value
98,paid advertising,12408.896778977,2.02779882092716,Low Value
99,email marketing,94195.6871248653,41.2786493384312,Low Value
100,email marketing,86418.7232382785,37.8706104463053,Low Value
101,social media,20106.7273541304,33.6973162425145,Low Value
102,social media,12197.9253052095,20.4427771497969,Low Value
103,email marketing,48963.4927550846,21.4568937231991,Low Value
104,social media,15602.3765183211,26.1483734479866,Low Value
105,social media,46200.5364983184,77.4285174080237,Medium Value
106,social media,14680.5558821555,24.603473527246,Low Value
107,email marketing,63526.2388564383,27.8386136094348,Low Value
108,paid advertising,5420.4661290261,0.885785015468625,Low Value
109,email marketing,63297.5046244799,27.7383771714311,Low Value
110,referral,6606.46740160473,8.13553287562725,Low Value
111,referral,47410.1534740923,58.3832234051926,Medium Value
112,referral,43672.3194921943,53.7802685437214,Medium Value
113,email marketing,32189.6490781326,14.1062216029277,Low Value
114,referral,37338.433612901,45.9804061257299,Low Value
115,paid advertising,14875.2085356092,2.43083094869942,Low Value
116,email marketing,65508.6022000781,28.7073294054669,Low Value
117,social media,45362.5177381679,76.0240629346232,Medium Value
118,referral,22963.9981069525,28.279010581294,Low Value
119,paid advertising,8750.4796060234,1.4299588870546,Low Value
120,paid advertising,13476.2087908352,2.20221352335857,Low Value
121,paid advertising,12875.2300272351,2.10400462937412,Low Value
122,email marketing,66118.5601519673,28.9746265734768,Low Value
123,email marketing,13814.6657774715,6.05389441663026,Low Value
124,referral,40475.329655587,49.8433360898585,Low Value
125,email marketing,20238.2854583043,8.86886771723422,Low Value
126,email marketing,51803.6094685685,22.7014961617451,Low Value
127,email marketing,24145.8285875942,10.5812401997975,Low Value
128,paid advertising,9095.30348677756,1.48630825245552,Low Value
129,paid advertising,7745.564296397,1.26574073645765,Low Value
130,email marketing,37793.6377611143,16.5620143340183,Low Value
131,paid advertising,2895.04170712183,0.473092996484783,Low Value
132,social media,32886.5134464264,55.1152469618727,Medium Value
133,email marketing,49916.5520549114,21.8745455482146,Low Value
134,referral,17074.8063026759,21.0267665873361,Low Value
135,referral,55366.5717892578,68.1811530460092,Medium Value
136,social media,18849.6992139045,31.5906345324137,Low Value
137,email marketing,29025.4922027075,12.7196175438764,Low Value
138,email marketing,47286.1083873894,20.721826511172,Low Value
139,paid advertising,15840.7154017208,2.58860917182198,Low Value
140,paid advertising,5555.1116443682,0.907788101006125,Low Value
141,referral,57061.2167778353,70.2680232565154,Medium Value
142,email marketing,14291.1954273849,6.26272032913798,Low Value
143,social media,32017.0689827702,53.6581254457196,Medium Value
144,paid advertising,7640.47511369097,1.24856759652594,Low Value
145,email marketing,67033.497079801,29.3755723254916,Low Value
146,social media,44953.9835925945,75.3393913788404,Medium Value
147,paid advertising,11656.852315237,1.90490353829088,Low Value
148,referral,23456.7672171062,28.8858309971149,Low Value
149,social media,18514.4917098443,31.0288527430535,Low Value
150,email marketing,47667.3321073201,20.8888872411781,Low Value
151,social media,42251.3730911089,70.8100257021237,Medium Value
152,social media,41444.780034464,69.4582382714757,Medium Value
153,email marketing,19399.5932744567,8.50133411122065,Low Value
154,email marketing,90002.2262056273,39.4409813083633,Low Value
155,social media,48578.4147302456,81.4136569762977,High Value
156,social media,24118.7421683512,40.4211420339196,Low Value
157,email marketing,56378.2941077372,24.7062249218191,Low Value
158,email marketing,72389.6903448277,31.7227755820783,Low Value
159,referral,41160.3989062886,50.6869644728292,Medium Value
160,email marketing,55063.0722739762,24.1298654032978,Low Value
161,email marketing,17398.1687448204,7.62426527868826,Low Value
